# wav-to-duration --read-entire-file=false scp:data/train/split4utt/2/wav.scp ark,t:data/train/split4utt/2/utt2dur 
# Started at Mon Jul 12 06:15:43 UTC 2021
#
wav-to-duration --read-entire-file=false scp:data/train/split4utt/2/wav.scp ark,t:data/train/split4utt/2/utt2dur 
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 338488 bytes in RIFF chunk, but after first data block there will be 36 + 338358 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 435622 bytes in RIFF chunk, but after first data block there will be 36 + 435492 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 275264 bytes in RIFF chunk, but after first data block there will be 36 + 275134 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1645576 bytes in RIFF chunk, but after first data block there will be 36 + 1645446 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 197886 bytes in RIFF chunk, but after first data block there will be 36 + 197756 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 252560 bytes in RIFF chunk, but after first data block there will be 36 + 252430 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 344460 bytes in RIFF chunk, but after first data block there will be 36 + 344330 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 338642 bytes in RIFF chunk, but after first data block there will be 36 + 338512 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 460786 bytes in RIFF chunk, but after first data block there will be 36 + 460656 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1363698 bytes in RIFF chunk, but after first data block there will be 36 + 1363568 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 258800 bytes in RIFF chunk, but after first data block there will be 36 + 258670 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 365966 bytes in RIFF chunk, but after first data block there will be 36 + 365836 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 345024 bytes in RIFF chunk, but after first data block there will be 36 + 344894 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 389370 bytes in RIFF chunk, but after first data block there will be 36 + 389240 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 518200 bytes in RIFF chunk, but after first data block there will be 36 + 518070 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 172466 bytes in RIFF chunk, but after first data block there will be 36 + 172336 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 345864 bytes in RIFF chunk, but after first data block there will be 36 + 345734 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1798492 bytes in RIFF chunk, but after first data block there will be 36 + 1798362 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 251388 bytes in RIFF chunk, but after first data block there will be 36 + 251258 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 272210 bytes in RIFF chunk, but after first data block there will be 36 + 272080 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 374934 bytes in RIFF chunk, but after first data block there will be 36 + 374804 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 495706 bytes in RIFF chunk, but after first data block there will be 36 + 495576 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 404774 bytes in RIFF chunk, but after first data block there will be 36 + 404644 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1837482 bytes in RIFF chunk, but after first data block there will be 36 + 1837352 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 305372 bytes in RIFF chunk, but after first data block there will be 36 + 305242 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 442444 bytes in RIFF chunk, but after first data block there will be 36 + 442314 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 397520 bytes in RIFF chunk, but after first data block there will be 36 + 397390 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 692536 bytes in RIFF chunk, but after first data block there will be 36 + 692406 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1509406 bytes in RIFF chunk, but after first data block there will be 36 + 1509276 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 676850 bytes in RIFF chunk, but after first data block there will be 36 + 676720 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 832686 bytes in RIFF chunk, but after first data block there will be 36 + 832556 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 978840 bytes in RIFF chunk, but after first data block there will be 36 + 978710 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 344280 bytes in RIFF chunk, but after first data block there will be 36 + 344150 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 436560 bytes in RIFF chunk, but after first data block there will be 36 + 436430 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 198260 bytes in RIFF chunk, but after first data block there will be 36 + 198130 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1747030 bytes in RIFF chunk, but after first data block there will be 36 + 1746900 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 508480 bytes in RIFF chunk, but after first data block there will be 36 + 508350 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 593694 bytes in RIFF chunk, but after first data block there will be 36 + 593564 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 645116 bytes in RIFF chunk, but after first data block there will be 36 + 644986 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1559110 bytes in RIFF chunk, but after first data block there will be 36 + 1558980 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 277020 bytes in RIFF chunk, but after first data block there will be 36 + 276890 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 254088 bytes in RIFF chunk, but after first data block there will be 36 + 253958 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 332958 bytes in RIFF chunk, but after first data block there will be 36 + 332828 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 254086 bytes in RIFF chunk, but after first data block there will be 36 + 253956 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 441478 bytes in RIFF chunk, but after first data block there will be 36 + 441348 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1776170 bytes in RIFF chunk, but after first data block there will be 36 + 1776040 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 361334 bytes in RIFF chunk, but after first data block there will be 36 + 361204 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 267744 bytes in RIFF chunk, but after first data block there will be 36 + 267614 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 272130 bytes in RIFF chunk, but after first data block there will be 36 + 272000 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 316002 bytes in RIFF chunk, but after first data block there will be 36 + 315872 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 573378 bytes in RIFF chunk, but after first data block there will be 36 + 573248 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1533024 bytes in RIFF chunk, but after first data block there will be 36 + 1532894 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 131424 bytes in RIFF chunk, but after first data block there will be 36 + 131294 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 326684 bytes in RIFF chunk, but after first data block there will be 36 + 326554 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 286286 bytes in RIFF chunk, but after first data block there will be 36 + 286156 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 413090 bytes in RIFF chunk, but after first data block there will be 36 + 412960 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 373816 bytes in RIFF chunk, but after first data block there will be 36 + 373686 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 1422504 bytes in RIFF chunk, but after first data block there will be 36 + 1422374 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 613776 bytes in RIFF chunk, but after first data block there will be 36 + 613646 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.929~1-9bca2]:Read():wave-reader.cc:260) Expected 808858 bytes in RIFF chunk, but after first data block there will be 36 + 808728 bytes (we do not support reading multiple data chunks).
LOG (wav-to-duration[5.5.929~1-9bca2]:main():wav-to-duration.cc:92) Printed duration for 1055 audio files.
LOG (wav-to-duration[5.5.929~1-9bca2]:main():wav-to-duration.cc:94) Mean duration was 7.38511, min and max durations were 1.64906, 57.4173
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Jul 12 06:15:43 UTC 2021, elapsed time 0 seconds
